Timestamp,Age,Gender,Is advertisement necessary to attract the consumers?,Is print advertisement (Newspaper etc)to be necessary?,Is the outdoor/street advertising relevance to Your daily life?,"Is outdoor/street advertisement poorly displayed, that's why not attractive? ","In this competition market, any product can’t survive without advertisement?",Do You buy the goods when you feel its necessary/needed?,Is restrictive advertisement also attract your mind and convince you.,Is advertisement a source of pleasure & entertainment? ,Do You think that television commercials have vast coverage than anything else?,Is advertisement always an influence & dominate You?,Do You like to buy the goods for dominance & increase the standard of living in society?,"Is advertisement create the awareness, so that You prefer to buy the low priced goods?",Is advertisement convince You to buy the same brands? ,"Is the FMCG Co. should give ads, for brand recall in Your mind?",Is your participation in purchasing influenced by friends & family? ,Is advertisement stimulate or encourage You to purchase the products?,Is advertisement always influence Your buying habits?,"Is advertisement motivate you, to shift from one brand to another brand? ",YesCount,NoCount,MayBe,
6/25/2021 11:57:48,18-24,Male,Yes,Maybe,Maybe,Yes,Maybe,Yes,Maybe,Yes,No,Maybe,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,11,2,5,2
6/28/2021 19:27:56,25-34,Male,Yes,Yes,No,Maybe,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,Yes,Yes,No,Yes,Yes,Yes,Yes,13,2,3,2
6/28/2021 20:04:37,above 34,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17,1,0,2
6/28/2021 21:06:23,18-24,Male,Yes,Maybe,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,No,No,Yes,No,No,No,Maybe,No,Maybe,8,6,4,2
6/28/2021 21:17:22,Below 18,Female,Maybe,Yes,Maybe,No,Yes,Yes,,No,Yes,Maybe,Yes,Yes,Yes,,Yes,Yes,No,Yes,10,3,3,2
6/28/2021 21:41:19,25-34,Male,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,9,8,1,2
6/29/2021 23:33:44,18-24,Male,Yes,No,No,Yes,Maybe,Yes,Yes,Yes,No,Maybe,Yes,,,,Yes,Yes,Maybe,Yes,9,3,3,2
6/29/2021 23:39:20,18-24,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Maybe,13,4,1,2
6/29/2021 23:39:28,25-34,Female,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Yes,Yes,Maybe,Maybe,11,0,7,2
6/29/2021 23:47:42,18-24,Male,Yes,Maybe,Maybe,Maybe,Yes,Yes,Yes,No,Yes,Yes,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes,11,1,6,2
6/29/2021 23:51:50,25-34,Female,Maybe,Yes,Maybe,No,Yes,Yes,No,No,Maybe,Maybe,No,No,No,Yes,No,Maybe,No,No,4,9,5,0
6/30/2021 0:02:24,25-34,Male,Yes,Maybe,Yes,Maybe,Yes,Yes,,,,,,,,,,,,,4,0,2,2
6/30/2021 15:19:24,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7/2/2021 22:26:44,18-24,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Maybe,Yes,Yes,12,5,1,2
7/3/2021 17:12:48,18-24,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Maybe,Yes,Yes,12,5,1,2
7/3/2021 23:56:30,25-34,Male,Yes,No,Yes,No,Maybe,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes,No,No,9,4,5,2
7/4/2021 18:49:46,18-24,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18,0,0,2
7/4/2021 18:50:12,18-24,Female,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Yes,9,3,6,2
7/4/2021 18:50:55,18-24,Male,Yes,Yes,Maybe,Yes,Yes,Yes,Maybe,No,Maybe,Maybe,No,Maybe,Maybe,Maybe,Maybe,Maybe,No,Maybe,5,3,10,1
7/4/2021 18:57:18,18-24,Male,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16,2,0,2
7/4/2021 19:02:08,18-24,Male,Maybe,Yes,Yes,Maybe,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,13,3,2,2
7/4/2021 19:05:21,18-24,Male,Yes,Yes,Maybe,No,Yes,Yes,Maybe,No,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes,Maybe,Yes,10,2,6,2
7/4/2021 19:09:44,18-24,Male,Yes,Yes,Maybe,Maybe,No,Yes,Yes,Maybe,No,Yes,No,Yes,Yes,Maybe,Yes,No,Yes,Maybe,9,4,5,2
